点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
572,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,318装置检修,318装置检修
573,35kV,35kV318备用线,318开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,318储能电源跳闸,318储能电源跳闸
574,35kV,35kV318备用线,318开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,318SF6压力低闭锁,318SF6压力低闭锁
575,35kV,35kV318备用线,318开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,318SF6压力低报警,318SF6压力低报警
576,35kV,35kV318备用线,318开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,318电缆室/开关室加热器故障,318电缆室/开关室加热器故障
577,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,318网络通讯正常,318网络通讯正常
578,35kV,35kV345分段,345分段保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,35kV备自投345自投投入,35kV备自投345自投投入
579,35kV,35kV345分段,345分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV345备自投动作,35kV345备自投动作
580,35kV,35kV345分段,345分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV备投345自投跳电源1-301,35kV备投345自投跳电源1-301
581,35kV,35kV345分段,345分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV备投345自投跳电源2-302,35kV备投345自投跳电源2-302
582,35kV,35kV345分段,345分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV备投345自投合分段345,35kV备投345自投合分段345
583,35kV,35kV345分段,345分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV备投345充电保护动作,35kV备投345充电保护动作
584,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV备投345装置报警,35kV备投345装置报警
585,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,35kV备投345弹簧未储能,35kV备投345弹簧未储能
586,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,35kV备投345控制回路断线,35kV备投345控制回路断线
587,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,35kV备投345自投总闭锁,35kV备投345自投总闭锁
588,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV备投345I母PT断线,35kV备投345I母PT断线
589,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV备投345II母PT断线,35kV备投345II母PT断线
590,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,35kV备投345自投方式3充电,35kV备投345自投方式3充电
591,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,35kV备投345自投方式4充电,35kV备投345自投方式4充电
592,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345开关SF6压力低报警,345开关SF6压力低报警
593,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345开关SF6压力低闭锁,345开关SF6压力低闭锁
594,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345储能电源跳闸,345储能电源跳闸
595,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345开关室加热器动作,345开关室加热器动作
596,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345电缆室加热器动作,345电缆室加热器动作
597,35kV,35kV345分段,345开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,345开关室/电缆室加热器故障,345开关室/电缆室加热器故障
598,35kV,35kV4母线,35kV4母线保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV4母母差过流一段动作,35kV4母母差过流一段动作
599,35kV,35kV4母线,35kV4母线保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV4母母差过流二段动作,35kV4母母差过流二段动作
600,35kV,35kV4母线,35kV4母线保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,35kV4母母差复压闭锁过流保护投入,35kV4母母差复压闭锁过流保护投入
601,35kV,35kV4母线,35kV4母线保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV4母母差外部闭锁母差开入,35kV4母母差外部闭锁母差开入
602,35kV,35kV4母线,35kV4母线保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,35kV4母母差信号复归开入,35kV4母母差信号复归开入
603,35kV,35kV4母线,35kV4母线保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,35kV4母母差网络通讯正常,35kV4母母差网络通讯正常
604,35kV,35kV5母线,35kV5母线保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV5母母差过流一段动作,35kV5母母差过流一段动作
605,35kV,35kV5母线,35kV5母线保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,35kV5母母差过流二段动作,35kV5母母差过流二段动作
606,35kV,35kV5母线,35kV5母线保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,35kV5母母差复压闭锁过流保护投入,35kV5母母差复压闭锁过流保护投入
607,35kV,35kV5母线,35kV5母线保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV5母母差外部闭锁母差开入,35kV5母母差外部闭锁母差开入
608,35kV,35kV5母线,35kV5母线保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,35kV5母母差信号复归开入,35kV5母母差信号复归开入
609,35kV,35kV5母线,35kV5母线保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,35kV5母母差网络通讯正常,35kV5母母差网络通讯正常
610,10kV,10kV圈宏线,151线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,151重合闸动作,151重合闸动作
611,10kV,10kV圈宏线,151线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,151过流Ⅰ段动作（速断）,151过流Ⅰ段动作（速断）
612,10kV,10kV圈宏线,151线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,151过流Ⅱ段动作（过流）,151过流Ⅱ段动作（过流）
613,10kV,10kV圈宏线,151线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,151装置报警,151装置报警
614,10kV,10kV圈宏线,151开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,151控制回路断线,151控制回路断线
615,10kV,10kV圈宏线,151线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,151过负荷报警,151过负荷报警
616,10kV,10kV圈宏线,151开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,151弹簧未储能,151弹簧未储能
617,10kV,10kV圈宏线,151线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,151测控屏远方/就地,151测控屏远方/就地
618,10kV,10kV圈宏线,151线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,151闭锁重合压板,151闭锁重合压板
619,10kV,10kV圈宏线,151线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,151信号复归开入,151信号复归开入
620,10kV,10kV圈宏线,151线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,151装置检修,151装置检修
621,10kV,10kV圈宏线,151开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,151储能电源跳闸,151储能电源跳闸
622,10kV,10kV圈宏线,151开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,151电缆室/开关室加热器故障,151电缆室/开关室加热器故障
623,10kV,10kV圈宏线,151线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,151网络通讯正常,151网络通讯正常
624,10kV,10kV银海线,153线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,153重合闸动作,153重合闸动作
625,10kV,10kV银海线,153线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,153过流Ⅰ段动作（速断）,153过流Ⅰ段动作（速断）
626,10kV,10kV银海线,153线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,153过流Ⅱ段动作（过流）,153过流Ⅱ段动作（过流）
627,10kV,10kV银海线,153线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,153装置报警,153装置报警
628,10kV,10kV银海线,153开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,153控制回路断线,153控制回路断线
629,10kV,10kV银海线,153线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,153过负荷报警,153过负荷报警
630,10kV,10kV银海线,153开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,153弹簧未储能,153弹簧未储能
631,10kV,10kV银海线,153线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,153测控屏远方/就地,153测控屏远方/就地
632,10kV,10kV银海线,153线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,153闭锁重合压板,153闭锁重合压板
633,10kV,10kV银海线,153线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,153信号复归开入,153信号复归开入
634,10kV,10kV银海线,153线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,153装置检修,153装置检修
635,10kV,10kV银海线,153开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,153储能电源跳闸,153储能电源跳闸
636,10kV,10kV银海线,153开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,153电缆室/开关室加热器故障,153电缆室/开关室加热器故障
637,10kV,10kV银海线,153线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,153网络通讯正常,153网络通讯正常
638,10kV,10kV落垡线,155线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,155重合闸动作,155重合闸动作
639,10kV,10kV落垡线,155线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,155过流Ⅰ段动作（速断）,155过流Ⅰ段动作（速断）
640,10kV,10kV落垡线,155线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,155过流Ⅱ段动作（过流）,155过流Ⅱ段动作（过流）
641,10kV,10kV落垡线,155线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,155装置报警,155装置报警
642,10kV,10kV落垡线,155开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,155控制回路断线,155控制回路断线
643,10kV,10kV落垡线,155线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,155过负荷报警,155过负荷报警
644,10kV,10kV落垡线,155开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,155弹簧未储能,155弹簧未储能
645,10kV,10kV落垡线,155线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,155测控屏远方/就地,155测控屏远方/就地
646,10kV,10kV落垡线,155线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,155闭锁重合压板,155闭锁重合压板
647,10kV,10kV落垡线,155线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,155信号复归开入,155信号复归开入
648,10kV,10kV落垡线,155线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,155装置检修,155装置检修
649,10kV,10kV落垡线,155开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,155储能电源跳闸,155储能电源跳闸
650,10kV,10kV落垡线,155开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,155电缆室/开关室加热器故障,155电缆室/开关室加热器故障
651,10kV,10kV落垡线,155线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,155网络通讯正常,155网络通讯正常
652,10kV,10kV157备用线,157线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,157重合闸动作,157重合闸动作
653,10kV,10kV157备用线,157线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,157过流Ⅰ段动作（速断）,157过流Ⅰ段动作（速断）
654,10kV,10kV157备用线,157线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,157过流Ⅱ段动作（过流）,157过流Ⅱ段动作（过流）
655,10kV,10kV157备用线,157线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,157装置报警,157装置报警
656,10kV,10kV157备用线,157开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,157控制回路断线,157控制回路断线
657,10kV,10kV157备用线,157线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,157过负荷报警,157过负荷报警
658,10kV,10kV157备用线,157开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,157弹簧未储能,157弹簧未储能
659,10kV,10kV157备用线,157线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,157测控屏远方/就地,157测控屏远方/就地
660,10kV,10kV157备用线,157线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,157闭锁重合压板,157闭锁重合压板
661,10kV,10kV157备用线,157线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,157信号复归开入,157信号复归开入
662,10kV,10kV157备用线,157线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,157装置检修,157装置检修
663,10kV,10kV157备用线,157开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,157储能电源跳闸,157储能电源跳闸
664,10kV,10kV157备用线,157开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,157电缆室/开关室加热器故障,157电缆室/开关室加热器故障
665,10kV,10kV157备用线,157线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,157网络通讯正常,157网络通讯正常
666,10kV,10kV奥朗斯线,159线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,159重合闸动作,159重合闸动作
667,10kV,10kV奥朗斯线,159线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,159过流Ⅰ段动作（速断）,159过流Ⅰ段动作（速断）
668,10kV,10kV奥朗斯线,159线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,159过流Ⅱ段动作（过流）,159过流Ⅱ段动作（过流）
669,10kV,10kV奥朗斯线,159线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,159装置报警,159装置报警
670,10kV,10kV奥朗斯线,159开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,159控制回路断线,159控制回路断线
671,10kV,10kV奥朗斯线,159线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,159过负荷报警,159过负荷报警
672,10kV,10kV奥朗斯线,159开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,159弹簧未储能,159弹簧未储能
673,10kV,10kV奥朗斯线,159线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,159测控屏远方/就地,159测控屏远方/就地
674,10kV,10kV奥朗斯线,159线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,159闭锁重合压板,159闭锁重合压板
675,10kV,10kV奥朗斯线,159线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,159信号复归开入,159信号复归开入
676,10kV,10kV奥朗斯线,159线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,159装置检修,159装置检修
677,10kV,10kV奥朗斯线,159开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,159储能电源跳闸,159储能电源跳闸
678,10kV,10kV奥朗斯线,159开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,159电缆室/开关室加热器故障,159电缆室/开关室加热器故障
679,10kV,10kV奥朗斯线,159线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,159网络通讯正常,159网络通讯正常
680,10kV,10kV董标垡线,161线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,161重合闸动作,161重合闸动作
681,10kV,10kV董标垡线,161线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,161过流Ⅰ段动作（速断）,161过流Ⅰ段动作（速断）
682,10kV,10kV董标垡线,161线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,161过流Ⅱ段动作（过流）,161过流Ⅱ段动作（过流）
683,10kV,10kV董标垡线,161线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,161装置报警,161装置报警
684,10kV,10kV董标垡线,161开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,161控制回路断线,161控制回路断线
685,10kV,10kV董标垡线,161线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,161过负荷报警,161过负荷报警
686,10kV,10kV董标垡线,161开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,161弹簧未储能,161弹簧未储能
687,10kV,10kV董标垡线,161线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,161测控屏远方/就地,161测控屏远方/就地
688,10kV,10kV董标垡线,161线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,161闭锁重合压板,161闭锁重合压板
689,10kV,10kV董标垡线,161线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,161信号复归开入,161信号复归开入
690,10kV,10kV董标垡线,161线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,161装置检修,161装置检修
691,10kV,10kV董标垡线,161开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,161储能电源跳闸,161储能电源跳闸
692,10kV,10kV董标垡线,161开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,161电缆室/开关室加热器故障,161电缆室/开关室加热器故障
693,10kV,10kV董标垡线,161线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,161网络通讯正常,161网络通讯正常
694,10kV,10kV150接地变,150接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,150重合闸动作,150重合闸动作
695,10kV,10kV150接地变,150接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,150过流Ⅰ段动作（速断）,150过流Ⅰ段动作（速断）
696,10kV,10kV150接地变,150接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,150过流Ⅱ段动作（过流）,150过流Ⅱ段动作（过流）
697,10kV,10kV150接地变,150接地变保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150装置报警,150装置报警
698,10kV,10kV150接地变,150开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,150控制回路断线,150控制回路断线
699,10kV,10kV150接地变,150接地变保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,150过负荷报警,150过负荷报警
700,10kV,10kV150接地变,150开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,150弹簧未储能,150弹簧未储能
701,10kV,10kV150接地变,150接地变保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,150测控屏远方/就地,150测控屏远方/就地
702,10kV,10kV150接地变,150接地变保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,150闭锁重合压板,150闭锁重合压板
703,10kV,10kV150接地变,150接地变保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,150信号复归开入,150信号复归开入
704,10kV,10kV150接地变,150接地变保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,150装置检修,150装置检修
705,10kV,10kV150接地变,150开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,150储能电源跳闸,150储能电源跳闸
706,10kV,10kV150接地变,150开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,150电缆室/开关室加热器故障,150电缆室/开关室加热器故障
707,10kV,10kV150接地变,150接地变保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,150网络通讯正常,150网络通讯正常
708,10kV,10kV165备用线,165线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,165重合闸动作,165重合闸动作
709,10kV,10kV165备用线,165线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,165过流Ⅰ段动作（速断）,165过流Ⅰ段动作（速断）
710,10kV,10kV165备用线,165线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,165过流Ⅱ段动作（过流）,165过流Ⅱ段动作（过流）
711,10kV,10kV165备用线,165线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,165装置报警,165装置报警
712,10kV,10kV165备用线,165开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,165控制回路断线,165控制回路断线
713,10kV,10kV165备用线,165线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,165过负荷报警,165过负荷报警
714,10kV,10kV165备用线,165开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,165弹簧未储能,165弹簧未储能
715,10kV,10kV165备用线,165线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,165测控屏远方/就地,165测控屏远方/就地
716,10kV,10kV165备用线,165线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,165闭锁重合压板,165闭锁重合压板
717,10kV,10kV165备用线,165线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,165信号复归开入,165信号复归开入
718,10kV,10kV165备用线,165线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,165装置检修,165装置检修
719,10kV,10kV165备用线,165开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,165储能电源跳闸,165储能电源跳闸
720,10kV,10kV165备用线,165开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,165电缆室/开关室加热器故障,165电缆室/开关室加热器故障
721,10kV,10kV165备用线,165线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,165网络通讯正常,165网络通讯正常
722,10kV,10kV马圈东线,152线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,152重合闸动作,152重合闸动作
723,10kV,10kV马圈东线,152线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,152过流Ⅰ段动作（速断）,152过流Ⅰ段动作（速断）
724,10kV,10kV马圈东线,152线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,152过流Ⅱ段动作（过流）,152过流Ⅱ段动作（过流）
725,10kV,10kV马圈东线,152线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,152装置报警,152装置报警
726,10kV,10kV马圈东线,152开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,152控制回路断线,152控制回路断线
727,10kV,10kV马圈东线,152线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,152过负荷报警,152过负荷报警
728,10kV,10kV马圈东线,152开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,152弹簧未储能,152弹簧未储能
729,10kV,10kV马圈东线,152线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,152测控屏远方/就地,152测控屏远方/就地
730,10kV,10kV马圈东线,152线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,152闭锁重合压板,152闭锁重合压板
731,10kV,10kV马圈东线,152线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,152信号复归开入,152信号复归开入
732,10kV,10kV马圈东线,152线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,152装置检修,152装置检修
733,10kV,10kV马圈东线,152开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,152储能电源跳闸,152储能电源跳闸
734,10kV,10kV马圈东线,152开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,152电缆室/开关室加热器故障,152电缆室/开关室加热器故障
735,10kV,10kV马圈东线,152线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,152网络通讯正常,152网络通讯正常
736,10kV,10kV马圈西线,154线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,154重合闸动作,154重合闸动作
737,10kV,10kV马圈西线,154线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,154过流Ⅰ段动作（速断）,154过流Ⅰ段动作（速断）
738,10kV,10kV马圈西线,154线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,154过流Ⅱ段动作（过流）,154过流Ⅱ段动作（过流）
739,10kV,10kV马圈西线,154线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,154装置报警,154装置报警
740,10kV,10kV马圈西线,154开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,154控制回路断线,154控制回路断线
741,10kV,10kV马圈西线,154线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,154过负荷报警,154过负荷报警
742,10kV,10kV马圈西线,154开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,154弹簧未储能,154弹簧未储能
743,10kV,10kV马圈西线,154线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,154测控屏远方/就地,154测控屏远方/就地
744,10kV,10kV马圈西线,154线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,154闭锁重合压板,154闭锁重合压板
745,10kV,10kV马圈西线,154线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,154信号复归开入,154信号复归开入
746,10kV,10kV马圈西线,154线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,154装置检修,154装置检修
747,10kV,10kV马圈西线,154开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,154储能电源跳闸,154储能电源跳闸
748,10kV,10kV马圈西线,154开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,154电缆室/开关室加热器故障,154电缆室/开关室加热器故障
749,10kV,10kV马圈西线,154线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,154网络通讯正常,154网络通讯正常
750,10kV,10kV和瑞园线,156线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,156重合闸动作,156重合闸动作
751,10kV,10kV和瑞园线,156线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,156过流Ⅰ段动作（速断）,156过流Ⅰ段动作（速断）
752,10kV,10kV和瑞园线,156线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,156过流Ⅱ段动作（过流）,156过流Ⅱ段动作（过流）
753,10kV,10kV和瑞园线,156线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,156装置报警,156装置报警
754,10kV,10kV和瑞园线,156开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,156控制回路断线,156控制回路断线
755,10kV,10kV和瑞园线,156线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,156过负荷报警,156过负荷报警
756,10kV,10kV和瑞园线,156开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,156弹簧未储能,156弹簧未储能
757,10kV,10kV和瑞园线,156线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,156测控屏远方/就地,156测控屏远方/就地
758,10kV,10kV和瑞园线,156线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,156闭锁重合压板,156闭锁重合压板
759,10kV,10kV和瑞园线,156线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,156信号复归开入,156信号复归开入
760,10kV,10kV和瑞园线,156线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,156装置检修,156装置检修
761,10kV,10kV和瑞园线,156开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,156储能电源跳闸,156储能电源跳闸
762,10kV,10kV和瑞园线,156开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,156电缆室/开关室加热器故障,156电缆室/开关室加热器故障
